subject,step,task,n_trials
35,S00_Free Water,gap_detection,201
35,S01_request_rewards,gap_detection,301
35,S02_long_gap,gap_detection,1197
35,S03_gap_128,gap_detection,515
35,S04_gap_64,gap_detection,1680
35,S05_gap_all,gap_detection,53653
684,S00_Free Water,gap_laser_PV,411
684,S01_request_rewards,gap_laser_PV,969
684,S02_long_gap,gap_laser_PV,2639
684,S03_gap_128,gap_laser_PV,651
684,S04_gap_64,gap_laser_PV,522
684,S05_gap_all,gap_laser_PV,1234
684,S06_2AFC_Gap_Laser,gap_laser_PV,16765
643,S00_Free Water,gap_laser_PV,259
643,S01_request_rewards,gap_laser_PV,581
643,S02_long_gap,gap_laser_PV,1813
643,S03_gap_128,gap_laser_PV,608
643,S04_gap_64,gap_laser_PV,573
643,S05_gap_all,gap_laser_PV,6387
643,S06_2AFC_Gap_Laser,gap_laser_PV,15155
9477,S00_Free Water,speech_discrim_stepped,201
9477,S01_reqrewards,speech_discrim_stepped,301
9477,S02_tonediscrim,speech_discrim_stepped,1395
9477,S03_speech_1,speech_discrim_stepped,4991
9477,S04_speech_2,speech_discrim_stepped,4656
9477,S05_speech_3,speech_discrim_stepped,4867
9477,S06_speech_4,speech_discrim_stepped,17328
9477,S07_speech_5,speech_discrim_stepped,22886
9477,S08_speech_6,speech_discrim_stepped,4925
9477,S09_speech_7,speech_discrim_stepped,0
9477,S10_speech_8,speech_discrim_stepped,0
9477,S11_speech_9,speech_discrim_stepped,0
9477,S12_speech_10,speech_discrim_stepped,0
9477,S13_speech_11,speech_discrim_stepped,0
9477,S14_speech_12,speech_discrim_stepped,0
9477,S15_speech_13,speech_discrim_stepped,0
9477,S16_speech_14,speech_discrim_stepped,0
9477,S17_speech_15,speech_discrim_stepped,0
9477,S18_speech_16,speech_discrim_stepped,0
9477,S19_speech_17,speech_discrim_stepped,0
9477,S20_speech_18,speech_discrim_stepped,0
9477,S21_speech_19,speech_discrim_stepped,0
9477,S22_speech_20,speech_discrim_stepped,0
9477,S23_speech_21,speech_discrim_stepped,0
9477,S24_speech_22,speech_discrim_stepped,0
9477,S25_speech_23,speech_discrim_stepped,0
9477,S26_speech_24,speech_discrim_stepped,0
9477,S27_speech_25,speech_discrim_stepped,0
9477,S28_speech_26,speech_discrim_stepped,0
9477,S29_speech_27,speech_discrim_stepped,0
8818,S00_Free Water,speech_discrim,3027
8818,S01_reqrewards,speech_discrim,3980
8818,S02_tonediscrim,speech_discrim,2222
8818,S03_speech_1,speech_discrim,0
8818,S04_speech_2,speech_discrim,0
8818,S05_speech_3,speech_discrim,0
178,S00_Free Water,gap_laser_PV,201
178,S01_request_rewards,gap_laser_PV,301
178,S02_long_gap,gap_laser_PV,2106
178,S03_gap_128,gap_laser_PV,561
178,S04_gap_64,gap_laser_PV,1213
178,S05_gap_all,gap_laser_PV,2616
178,S06_2AFC_Gap_Laser,gap_laser_PV,31672
129,S00_2AFC_Gap,gap_laser2,1874
129,S00_Nafc_Gap,gap_laser2,0
129,S01_2AFC_Gap_Laser,gap_laser2,50747
129,S01_Nafc_Gap_Laser,gap_laser2,0
129,S00_2AFC_Gap,gap_laser,6752
129,S01_2AFC_Gap_Laser,gap_laser,2561
129,S00_Free Water,gap_detection,201
129,S01_request_rewards,gap_detection,301
129,S02_long_gap,gap_detection,1984
129,S03_gap_128,gap_detection,1322
129,S04_gap_64,gap_detection,536
129,S05_gap_all,gap_detection,68130
9238,S00_Free Water,speech_discrim_stepped,0
9238,S01_reqrewards,speech_discrim_stepped,301
9238,S02_tonediscrim,speech_discrim_stepped,5511
9238,S03_speech_1,speech_discrim_stepped,9504
9238,S04_speech_2,speech_discrim_stepped,22692
9238,S05_speech_3,speech_discrim_stepped,0
9238,S06_speech_4,speech_discrim_stepped,0
9238,S07_speech_5,speech_discrim_stepped,0
9238,S08_speech_6,speech_discrim_stepped,0
9238,S09_speech_7,speech_discrim_stepped,0
9238,S10_speech_8,speech_discrim_stepped,0
9238,S11_speech_9,speech_discrim_stepped,0
9238,S12_speech_10,speech_discrim_stepped,0
9238,S13_speech_11,speech_discrim_stepped,0
9238,S14_speech_12,speech_discrim_stepped,0
9238,S15_speech_13,speech_discrim_stepped,0
9238,S16_speech_14,speech_discrim_stepped,0
9238,S17_speech_15,speech_discrim_stepped,0
9238,S18_speech_16,speech_discrim_stepped,0
9238,S19_speech_17,speech_discrim_stepped,0
9238,S20_speech_18,speech_discrim_stepped,0
9238,S21_speech_19,speech_discrim_stepped,0
9238,S22_speech_20,speech_discrim_stepped,0
9238,S23_speech_21,speech_discrim_stepped,0
9238,S24_speech_22,speech_discrim_stepped,0
9238,S25_speech_23,speech_discrim_stepped,0
9238,S26_speech_24,speech_discrim_stepped,0
9238,S27_speech_25,speech_discrim_stepped,0
9238,S28_speech_26,speech_discrim_stepped,0
9238,S29_speech_27,speech_discrim_stepped,0
9238,S00_Free Water,speech_discrim,201
9238,S01_reqrewards,speech_discrim,85
9238,S02_tonediscrim,speech_discrim,0
9238,S03_speech_1,speech_discrim,0
9238,S04_speech_2,speech_discrim,0
9238,S05_speech_3,speech_discrim,0
997,S00_Free Water,gap_laser_GPR26,266
997,S01_request_rewards,gap_laser_GPR26,751
997,S02_long_gap,gap_laser_GPR26,0
997,S03_gap_128,gap_laser_GPR26,0
997,S04_gap_64,gap_laser_GPR26,0
997,S05_gap_all,gap_laser_GPR26,0
997,S06_2AFC_Gap_Laser,gap_laser_GPR26,0
87,S00_2AFC_Gap,gap_laser2,42363
87,S01_2AFC_Gap_Laser,gap_laser2,0
87,S00_2AFC_Gap,gap_laser,3400
87,S01_2AFC_Gap_Laser,gap_laser,0
87,S00_Free Water,gap_detection,201
87,S01_request_rewards,gap_detection,301
87,S02_long_gap,gap_detection,2177
87,S03_gap_128,gap_detection,850
87,S04_gap_64,gap_detection,653
87,S05_gap_all,gap_detection,83393
647,S00_Free Water,gap_laser_PV,326
647,S01_request_rewards,gap_laser_PV,3820
647,S02_long_gap,gap_laser_PV,3522
647,S03_gap_128,gap_laser_PV,500
647,S04_gap_64,gap_laser_PV,500
647,S05_gap_all,gap_laser_PV,1740
647,S06_2AFC_Gap_Laser,gap_laser_PV,8873
93,S00_2AFC_Gap,gap_laser2,5
93,S00_Nafc_Gap,gap_laser2,0
93,S01_2AFC_Gap_Laser,gap_laser2,0
93,S01_Nafc_Gap_Laser,gap_laser2,0
680,S00_Free Water,gap_laser_PV,411
680,S01_request_rewards,gap_laser_PV,569
680,S02_long_gap,gap_laser_PV,4659
680,S03_gap_128,gap_laser_PV,685
680,S04_gap_64,gap_laser_PV,500
680,S05_gap_all,gap_laser_PV,1000
680,S06_2AFC_Gap_Laser,gap_laser_PV,16366
9473,S00_Free Water,speech_discrim_stepped,201
9473,S01_reqrewards,speech_discrim_stepped,301
9473,S02_tonediscrim,speech_discrim_stepped,10748
9473,S03_speech_1,speech_discrim_stepped,42266
9473,S04_speech_2,speech_discrim_stepped,0
9473,S05_speech_3,speech_discrim_stepped,0
9473,S06_speech_4,speech_discrim_stepped,0
9473,S07_speech_5,speech_discrim_stepped,0
9473,S08_speech_6,speech_discrim_stepped,0
9473,S09_speech_7,speech_discrim_stepped,0
9473,S10_speech_8,speech_discrim_stepped,0
9473,S11_speech_9,speech_discrim_stepped,0
9473,S12_speech_10,speech_discrim_stepped,0
9473,S13_speech_11,speech_discrim_stepped,0
9473,S14_speech_12,speech_discrim_stepped,0
9473,S15_speech_13,speech_discrim_stepped,0
9473,S16_speech_14,speech_discrim_stepped,0
9473,S17_speech_15,speech_discrim_stepped,0
9473,S18_speech_16,speech_discrim_stepped,0
9473,S19_speech_17,speech_discrim_stepped,0
9473,S20_speech_18,speech_discrim_stepped,0
9473,S21_speech_19,speech_discrim_stepped,0
9473,S22_speech_20,speech_discrim_stepped,0
9473,S23_speech_21,speech_discrim_stepped,0
9473,S24_speech_22,speech_discrim_stepped,0
9473,S25_speech_23,speech_discrim_stepped,0
9473,S26_speech_24,speech_discrim_stepped,0
9473,S27_speech_25,speech_discrim_stepped,0
9473,S28_speech_26,speech_discrim_stepped,0
9473,S29_speech_27,speech_discrim_stepped,0
9473,S00_Free Water,speech_discrim,189
9473,S01_reqrewards,speech_discrim,0
9473,S02_tonediscrim,speech_discrim,0
9473,S03_speech_1,speech_discrim,0
9473,S04_speech_2,speech_discrim,0
